title,sentiment
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
"Bank booths, hotels can now get limited money changer licence",negative
"Bangladesh, Netherlands vow stronger ties on circular textile",positive
BB relaxes lending limit to foreign firms,positive
FBCCI election deadline extended by 45 days,neutral
Exports grow 8.58% in FY25,neutral
"Berger Paints recommends 525% cash dividend, highest in 8 years",positive
Stocks rebound in early trading,neutral
Chattogram Customs commissioner suspended for joining NBR shutdown,negative
Remittance up by $6.4b in FY25,neutral
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
Online submission of export-import papers made mandatory,positive
Five more NBR officials under ACC scanner,neutral
CPA to operate new mooring terminal for six months,neutral
Govt slashes interest rates on savings certificates,positive
Trump threatens tariffs on Japan over rice exports,negative
"Is job hopping the problem, or the system?",negative
Apple fruitlessly ponders the innovator’s dilemma,negative
"Local, global crises prolong DSE slump in first half",neutral
"Rice prices rise defying Boro supply, imports",neutral
Depositors leave troubled banks for stronger rivals,negative
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
Eastern Refinery's second unit to be built with govt funding,neutral
